power,	 Rx_OK,	 send_total,  RX_OK_Percent
-82	 998	 1000	 99.8%
-83	 1000	 1000	 100.0%
-84	 999	 1000	 99.9%
-85	 1000	 1000	 100.0%
-86	 998	 1000	 99.8%
-87	 997	 1000	 99.7%
-88	 997	 1000	 99.7%
-89	 997	 1000	 99.7%
-90	 -1	 1000	 -100%
-91	 997	 1000	 99.7%
-92	 999	 1000	 99.9%
-93	 999	 1000	 99.9%
-94	 1000	 1000	 100.0%
-95	 997	 1000	 99.7%
-96	 999	 1000	 99.9%
-97	 1000	 1000	 100.0%
-98	 1000	 1000	 100.0%
-99	 995	 1000	 99.5%
-100	 981	 1000	 98.1%
-101	 893	 1000	 89.3%
-102	 462	 1000	 46.2%
