power,	 Rx_OK,	 send_total,  RX_OK_Percent
-77	 998	 1000	 99.8%
-78	 999	 1000	 99.9%
-79	 999	 1000	 99.9%
-80	 997	 1000	 99.7%
-81	 999	 1000	 99.9%
-82	 996	 1000	 99.6%
-83	 996	 1000	 99.6%
-84	 997	 1000	 99.7%
-85	 998	 1000	 99.8%
-86	 998	 1000	 99.8%
-87	 997	 1000	 99.7%
-88	 999	 1000	 99.9%
-89	 1000	 1000	 100.0%
-90	 999	 1000	 99.9%
-91	 1000	 1000	 100.0%
-92	 999	 1000	 99.9%
-93	 999	 1000	 99.9%
-94	 996	 1000	 99.6%
-95	 1000	 1000	 100.0%
-96	 997	 1000	 99.7%
-97	 999	 1000	 99.9%
-98	 958	 1000	 95.8%
-99	 -1	 1000	 -100%
-100	 6	 1000	 0.6%
