power,	 Rx_OK,	 send_total,  RX_OK_Percent
-60	 996	 1000	 99.6%
-61	 996	 1000	 99.6%
-62	 999	 1000	 99.9%
-63	 999	 1000	 99.9%
-64	 997	 1000	 99.7%
-65	 995	 1000	 99.5%
-66	 995	 1000	 99.5%
-67	 992	 1000	 99.2%
-68	 997	 1000	 99.7%
-69	 997	 1000	 99.7%
-70	 998	 1000	 99.8%
-71	 995	 1000	 99.5%
-72	 998	 1000	 99.8%
-73	 997	 1000	 99.7%
-74	 994	 1000	 99.4%
-75	 992	 1000	 99.2%
-76	 989	 1000	 98.9%
-77	 978	 1000	 97.8%
-78	 931	 1000	 93.1%
-79	 822	 1000	 82.2%
-80	 588	 1000	 58.8%
