power,	 Rx_OK,	 send_total,  RX_OK_Percent
-82	 997	 1000	 99.7%
-83	 999	 1000	 99.9%
-84	 1000	 1000	 100.0%
-85	 997	 1000	 99.7%
-86	 995	 1000	 99.5%
-87	 999	 1000	 99.9%
-88	 994	 1000	 99.4%
-89	 1000	 1000	 100.0%
-90	 1000	 1000	 100.0%
-91	 1000	 1000	 100.0%
-92	 1000	 1000	 100.0%
-93	 1000	 1000	 100.0%
-94	 997	 1000	 99.7%
-95	 998	 1000	 99.8%
-96	 999	 1000	 99.9%
-97	 998	 1000	 99.8%
-98	 999	 1000	 99.9%
-99	 998	 1000	 99.8%
-100	 998	 1000	 99.8%
-101	 998	 1000	 99.8%
-102	 987	 1000	 98.7%
-103	 988	 1000	 98.8%
-104	 938	 1000	 93.8%
-105	 585	 1000	 58.5%
