power,	 Rx_OK,	 send_total,  RX_OK_Percent
-64	 994	 1000	 99.4%
-65	 994	 1000	 99.4%
-66	 997	 1000	 99.7%
-67	 997	 1000	 99.7%
-68	 994	 1000	 99.4%
-69	 993	 1000	 99.3%
-70	 1000	 1000	 100.0%
-71	 998	 1000	 99.8%
-72	 1000	 1000	 100.0%
-73	 996	 1000	 99.6%
-74	 998	 1000	 99.8%
-75	 995	 1000	 99.5%
-76	 993	 1000	 99.3%
-77	 997	 1000	 99.7%
-78	 995	 1000	 99.5%
-79	 994	 1000	 99.4%
-80	 995	 1000	 99.5%
-81	 997	 1000	 99.7%
-82	 996	 1000	 99.6%
-83	 998	 1000	 99.8%
-84	 968	 1000	 96.8%
-85	 851	 1000	 85.1%
-86	 602	 1000	 60.2%
