power,	 Rx_OK,	 send_total,  RX_OK_Percent
-60	 998	 1000	 99.8%
-61	 998	 1000	 99.8%
-62	 992	 1000	 99.2%
-63	 996	 1000	 99.6%
-64	 992	 1000	 99.2%
-65	 997	 1000	 99.7%
-66	 996	 1000	 99.6%
-67	 998	 1000	 99.8%
-68	 994	 1000	 99.4%
-69	 993	 1000	 99.3%
-70	 992	 1000	 99.2%
-71	 994	 1000	 99.4%
-72	 994	 1000	 99.4%
-73	 995	 1000	 99.5%
-74	 992	 1000	 99.2%
-75	 998	 1000	 99.8%
-76	 996	 1000	 99.6%
-77	 995	 1000	 99.5%
-78	 995	 1000	 99.5%
-79	 992	 1000	 99.2%
-80	 978	 1000	 97.8%
-81	 951	 1000	 95.1%
-82	 861	 1000	 86.1%
-83	 678	 1000	 67.8%
