BSSID,SSID,RSSI,Channel,Txbytes
1,083653545687,NAP840---TEST1,56,1,6366
1,0810178196c1,NAP840---TEST4,76,1,9416
4,083653545687,NAP840---TEST1,56,1,5894
4,0810178196c1,NAP840---TEST4,80,1,8230
5,083653545687,NAP840---TEST1,58,1,4012
5,0810178196c1,NAP840---TEST4,80,1,5428
7,083653545687,NAP840---TEST1,56,1,5416
8,0810178196c1,NAP840---TEST4,80,1,5428
8,083653545687,NAP840---TEST1,56,1,3540
10,0810178196c1,NAP840---TEST4,76,1,8236
11,0810178196c1,NAP840---TEST4,80,1,7546
11,083653545687,NAP840---TEST1,58,1,3540
13,0810178196c1,NAP840---TEST4,80,1,6838
13,083653545687,NAP840---TEST1,52,1,5416
13,0810112233a1,NAP840---TEST2,44,1,1652
13,081079d748a1,NAP840---TEST3,32,1,236
14,0810178196c1,NAP840---TEST4,40,1,6838
14,083653545687,NAP840---TEST1,60,1,4000
14,0810112233a1,NAP840---TEST2,44,1,472
16,081079d748a1,NAP840---TEST3,44,1,472
16,083653545687,NAP840---TEST1,56,1,6372
16,0810178196c1,NAP840---TEST4,76,1,7534
19,083653545687,NAP840---TEST1,56,1,4484
19,0810178196c1,NAP840---TEST4,76,1,6608
20,0810178196c1,NAP840---TEST4,80,1,6354
20,083653545687,NAP840---TEST1,36,1,3534
21,0810178196c1,NAP840---TEST4,80,1,19346
22,0810178196c1,NAP840---TEST4,76,1,11274
23,0810178196c1,NAP840---TEST4,28,1,5888
23,083653545687,NAP840---TEST1,52,1,2832
25,083653545687,NAP840---TEST1,52,1,4708
26,0810178196c1,NAP840---TEST4,80,1,6372
28,0810178196c1,NAP840---TEST4,76,1,8720
29,0810178196c1,NAP840---TEST4,80,1,5664
29,083653545687,NAP840---TEST1,60,1,3068
30,0810178196c1,NAP840---TEST4,80,1,22184
31,083653545687,NAP840---TEST1,56,1,5428
31,0810178196c1,NAP840---TEST4,76,1,10814
32,083653545687,NAP840---TEST1,60,1,4484
32,0810178196c1,NAP840---TEST4,80,1,5192
34,0810178196c1,NAP840---TEST4,72,1,9658
38,0810178196c1,NAP840---TEST4,36,1,7062
39,0810178196c1,NAP840---TEST4,80,1,18408
40,083653545687,NAP840---TEST1,40,1,5416
41,0810178196c1,NAP840---TEST4,80,1,8012
41,083653545687,NAP840---TEST1,60,1,4012
41,0810112233a1,NAP840---TEST2,44,1,472
42,0810112233a1,NAP840---TEST2,44,1,5192
43,083653545687,NAP840---TEST1,56,1,6572
44,083653545687,NAP840---TEST1,48,1,4012
46,0810178196c1,NAP840---TEST4,80,1,8248
46,081079d748a1,NAP840---TEST3,40,1,702
46,083653545687,NAP840---TEST1,60,1,6584
47,081079d748a1,NAP840---TEST3,44,1,472
47,0810178196c1,NAP840---TEST4,80,1,7316
47,083653545687,NAP840---TEST1,56,1,4248
48,0810178196c1,NAP840---TEST4,84,1,21936
48,083653545687,NAP840---TEST1,60,1,18880
49,0810112233a1,NAP840---TEST2,36,1,2124
49,083653545687,NAP840---TEST1,56,1,5652
49,081079d748a1,NAP840---TEST3,40,1,708
