TIMES,BSSID,SSID,RSSI,Channel,Txbytes
1,0810178196c1,NAP840---TEST4,84,1,31152
1,083653545687,NAP840---TEST1,60,1,28792
1,081079d748a1,NAP840---TEST3,36,1,3068
1,0810112233a1,NAP840---TEST2,20,1,6844
2,0810178196c1,NAP840---TEST4,80,1,30444
2,0810112233a1,NAP840---TEST2,36,1,5900
2,083653545687,NAP840---TEST1,60,1,29736
2,081079d748a1,NAP840---TEST3,40,1,2596
3,083653545687,NAP840---TEST1,56,1,29028
3,0810178196c1,NAP840---TEST4,80,1,30680
3,081079d748a1,NAP840---TEST3,44,1,4720
3,0810112233a1,NAP840---TEST2,40,1,3304
4,0810178196c1,NAP840---TEST4,84,1,31388
4,083653545687,NAP840---TEST1,60,1,27848
4,081079d748a1,NAP840---TEST3,44,1,2124
4,0810112233a1,NAP840---TEST2,36,1,4720
5,083653545687,NAP840---TEST1,60,1,27848
5,0810178196c1,NAP840---TEST4,80,1,34456
5,0810112233a1,NAP840---TEST2,36,1,1888
5,081079d748a1,NAP840---TEST3,40,1,4484
6,0810178196c1,NAP840---TEST4,80,1,31388
6,083653545687,NAP840---TEST1,60,1,29972
6,0810112233a1,NAP840---TEST2,36,1,708
6,081079d748a1,NAP840---TEST3,24,1,2124
7,0810178196c1,NAP840---TEST4,84,1,30208
7,083653545687,NAP840---TEST1,60,1,29500
7,081079d748a1,NAP840---TEST3,40,1,2124
7,0810112233a1,NAP840---TEST2,40,1,1888
8,083653545687,NAP840---TEST1,44,1,30916
8,0810178196c1,NAP840---TEST4,80,1,32332
8,081079d748a1,NAP840---TEST3,40,1,1888
8,0810112233a1,NAP840---TEST2,36,1,1652
9,0810178196c1,NAP840---TEST4,80,1,29972
9,0810112233a1,NAP840---TEST2,40,1,4956
9,083653545687,NAP840---TEST1,60,1,30916
9,081079d748a1,NAP840---TEST3,44,1,4956
10,083653545687,NAP840---TEST1,60,1,27848
10,0810178196c1,NAP840---TEST4,80,1,29028
10,0810112233a1,NAP840---TEST2,32,1,2360
10,081079d748a1,NAP840---TEST3,16,1,2360
11,0810178196c1,NAP840---TEST4,80,1,30208
11,083653545687,NAP840---TEST1,60,1,30444
11,0810112233a1,NAP840---TEST2,36,1,3068
11,081079d748a1,NAP840---TEST3,44,1,2124
12,083653545687,NAP840---TEST1,60,1,28556
12,0810178196c1,NAP840---TEST4,80,1,28556
12,0810112233a1,NAP840---TEST2,36,1,4720
12,081079d748a1,NAP840---TEST3,40,1,3304
13,083653545687,NAP840---TEST1,60,1,30916
13,0810178196c1,NAP840---TEST4,80,1,30444
13,0810112233a1,NAP840---TEST2,40,1,3540
13,081079d748a1,NAP840---TEST3,44,1,1180
14,0810178196c1,NAP840---TEST4,28,1,27376
14,0810112233a1,NAP840---TEST2,32,1,5428
14,083653545687,NAP840---TEST1,60,1,27376
14,081079d748a1,NAP840---TEST3,40,1,1180
15,081079d748a1,NAP840---TEST3,40,1,3540
15,0810112233a1,NAP840---TEST2,36,1,2360
15,083653545687,NAP840---TEST1,60,1,29736
15,0810178196c1,NAP840---TEST4,80,1,24544
16,083653545687,NAP840---TEST1,60,1,28084
16,0810178196c1,NAP840---TEST4,80,1,27140
16,0810112233a1,NAP840---TEST2,44,1,5664
16,081079d748a1,NAP840---TEST3,40,1,1652
17,083653545687,NAP840---TEST1,56,1,32096
17,0810112233a1,NAP840---TEST2,44,1,13688
17,0810178196c1,NAP840---TEST4,80,1,29500
18,0810178196c1,NAP840---TEST4,80,1,28556
18,0810112233a1,NAP840---TEST2,44,1,8260
18,083653545687,NAP840---TEST1,56,1,30444
18,081079d748a1,NAP840---TEST3,40,1,236
19,083653545687,NAP840---TEST1,56,1,36108
19,0810112233a1,NAP840---TEST2,48,1,10384
19,0810178196c1,NAP840---TEST4,80,1,35636
19,081079d748a1,NAP840---TEST3,40,1,944
20,0810178196c1,NAP840---TEST4,80,1,36816
20,083653545687,NAP840---TEST1,56,1,33040
20,0810112233a1,NAP840---TEST2,44,1,14632
21,0810178196c1,NAP840---TEST4,80,1,36344
21,083653545687,NAP840---TEST1,60,1,33040
21,0810112233a1,NAP840---TEST2,44,1,14868
22,0810178196c1,NAP840---TEST4,80,1,37996
22,083653545687,NAP840---TEST1,62,1,34456
22,0810112233a1,NAP840---TEST2,44,1,4956
23,0810178196c1,NAP840---TEST4,80,1,40592
23,0810112233a1,NAP840---TEST2,44,1,8732
23,083653545687,NAP840---TEST1,56,1,36344
24,083653545687,NAP840---TEST1,56,1,33984
24,0810112233a1,NAP840---TEST2,44,1,8024
24,0810178196c1,NAP840---TEST4,80,1,39648
24,081079d748a1,NAP840---TEST3,40,1,236
25,0810178196c1,NAP840---TEST4,80,1,41536
25,083653545687,NAP840---TEST1,56,1,34220
25,0810112233a1,NAP840---TEST2,44,1,7552
25,081079d748a1,NAP840---TEST3,48,1,236
26,083653545687,NAP840---TEST1,60,1,35164
26,0810178196c1,NAP840---TEST4,84,1,43188
26,0810112233a1,NAP840---TEST2,48,1,6844
27,083653545687,NAP840---TEST1,56,1,40120
27,0810178196c1,NAP840---TEST4,80,1,40356
27,0810112233a1,NAP840---TEST2,44,1,7552
28,0810178196c1,NAP840---TEST4,80,1,39412
28,083653545687,NAP840---TEST1,60,1,33276
28,0810112233a1,NAP840---TEST2,48,1,9204
29,0810178196c1,NAP840---TEST4,80,1,41300
29,083653545687,NAP840---TEST1,60,1,37052
29,0810112233a1,NAP840---TEST2,44,1,6372
30,083653545687,NAP840---TEST1,56,1,36580
30,0810178196c1,NAP840---TEST4,80,1,43896
30,0810112233a1,NAP840---TEST2,44,1,9204
31,083653545687,NAP840---TEST1,60,1,32332
31,0810178196c1,NAP840---TEST4,80,1,40120
31,0810112233a1,NAP840---TEST2,44,1,8024
32,0810178196c1,NAP840---TEST4,80,1,38940
32,0810112233a1,NAP840---TEST2,48,1,8496
32,083653545687,NAP840---TEST1,56,1,35400
32,081079d748a1,NAP840---TEST3,40,1,236
33,0810178196c1,NAP840---TEST4,80,1,43896
33,083653545687,NAP840---TEST1,56,1,36108
33,0810112233a1,NAP840---TEST2,44,1,6136
33,081079d748a1,NAP840---TEST3,40,1,236
34,0810178196c1,NAP840---TEST4,80,1,36108
